variable,Long,column,DataPack file,year
Selected Person Characteristics By Sex,Total Persons 2011 Census Males,Tot_persons_C11_M,T01,2011
Selected Person Characteristics By Sex,Total Persons 2011 Census Females,Tot_persons_C11_F,T01,2011
Selected Person Characteristics By Sex,Total Persons 2011 Census Persons,Tot_persons_C11_P,T01,2011
Selected Person Characteristics By Sex,Total Persons 2016 Census Males,Tot_persons_C16_M,T01,2016
Selected Person Characteristics By Sex,Total Persons 2016 Census Females,Tot_persons_C16_F,T01,2016
Selected Person Characteristics By Sex,Total Persons 2016 Census Persons,Tot_persons_C16_P,T01,2016
Selected Person Characteristics By Sex,Total Persons 2021 Census Males,Tot_persons_C21_M,T01,2021
Selected Person Characteristics By Sex,Total Persons 2021 Census Females,Tot_persons_C21_F,T01,2021
Selected Person Characteristics By Sex,Total Persons 2021 Census Persons,Tot_persons_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 0 4 Years 2011 Census Males,Age_0_4_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 0 4 Years 2011 Census Females,Age_0_4_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 0 4 Years 2011 Census Persons,Age_0_4_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 0 4 Years 2016 Census Males,Age_0_4_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 0 4 Years 2016 Census Females,Age_0_4_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 0 4 Years 2016 Census Persons,Age_0_4_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 0 4 Years 2021 Census Males,Age_0_4_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 0 4 Years 2021 Census Females,Age_0_4_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 0 4 Years 2021 Census Persons,Age_0_4_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 5 14 Years 2011 Census Males,Age_5_14_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 5 14 Years 2011 Census Females,Age_5_14_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 5 14 Years 2011 Census Persons,Age_5_14_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 5 14 Years 2016 Census Males,Age_5_14_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 5 14 Years 2016 Census Females,Age_5_14_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 5 14 Years 2016 Census Persons,Age_5_14_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 5 14 Years 2021 Census Males,Age_5_14_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 5 14 Years 2021 Census Females,Age_5_14_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 5 14 Years 2021 Census Persons,Age_5_14_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 15 19 Years 2011 Census Males,Age_15_19_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 15 19 Years 2011 Census Females,Age_15_19_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 15 19 Years 2011 Census Persons,Age_15_19_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 15 19 Years 2016 Census Males,Age_15_19_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 15 19 Years 2016 Census Females,Age_15_19_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 15 19 Years 2016 Census Persons,Age_15_19_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 15 19 Years 2021 Census Males,Age_15_19_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 15 19 Years 2021 Census Females,Age_15_19_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 15 19 Years 2021 Census Persons,Age_15_19_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 20 24 Years 2011 Census Males,Age_20_24_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 20 24 Years 2011 Census Females,Age_20_24_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 20 24 Years 2011 Census Persons,Age_20_24_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 20 24 Years 2016 Census Males,Age_20_24_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 20 24 Years 2016 Census Females,Age_20_24_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 20 24 Years 2016 Census Persons,Age_20_24_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 20 24 Years 2021 Census Males,Age_20_24_C21_M,T01,2021
